date,sales
2013-05-13,15
2013-05-14,23
2013-05-15,15
2013-05-16,30
2013-05-17,28
2013-05-18,27
2013-05-19,25
2013-05-20,19
2013-05-21,15
2013-05-22,25
2013-05-23,18
2013-05-24,22
2013-05-25,27
2013-05-26,29
2013-05-27,26
2013-05-28,20
2013-05-29,26
2013-05-30,14
2013-05-31,27
2013-06-01,26
2013-06-02,28
2013-06-03,17
2013-06-04,24
2013-06-05,23
2013-06-06,20
2013-06-07,24
2013-06-08,31
2013-06-09,29
2013-06-10,17
2013-06-11,25
2013-06-12,26
2013-06-13,28
2013-06-14,26
2013-06-15,20
2013-06-16,22
2013-06-17,22
2013-06-18,26
2013-06-19,20
2013-06-20,33
2013-06-21,25
2013-06-22,28
2013-06-23,29
2013-06-24,20
2013-06-25,20
2013-06-26,22
2013-06-27,24
2013-06-28,32
2013-06-29,28
2013-06-30,33
2013-07-01,20
2013-07-02,24
2013-07-03,20
2013-07-04,25
2013-07-05,29
2013-07-06,29
2013-07-07,31
2013-07-08,22
2013-07-09,32
2013-07-10,19
2013-07-11,21
2013-07-12,29
2013-07-13,21
2013-07-14,35
2013-07-15,24
2013-07-16,20
2013-07-17,24
2013-07-18,30
2013-07-19,32
2013-07-20,30
2013-07-21,35
2013-07-22,16
2013-07-23,21
2013-07-24,21
2013-07-25,33
2013-07-26,28
2013-07-27,32
2013-07-28,30
2013-07-29,22
2013-07-30,16
2013-07-31,23
2013-08-01,21
2013-08-02,25
2013-08-03,30
2013-08-04,21
2013-08-05,27
2013-08-06,30
2013-08-07,30
2013-08-08,18
2013-08-09,21
2013-08-10,27
2013-08-11,38
2013-08-12,9
2013-08-13,27
2013-08-14,26
2013-08-15,23
2013-08-16,26
2013-08-17,28
2013-08-18,27
2013-08-19,22
2013-08-20,33
2013-08-21,28
2013-08-22,21
2013-08-23,29
2013-08-24,20
2013-08-25,32
2013-08-26,16
2013-08-27,14
2013-08-28,21
2013-08-29,31
2013-08-30,23
2013-08-31,25
2013-09-01,25
2013-09-02,14
2013-09-03,18
2013-09-04,17
2013-09-05,20
2013-09-06,11
2013-09-07,29
2013-09-08,25
2013-09-09,23
2013-09-10,21
2013-09-11,17
2013-09-12,21
2013-09-13,25
2013-09-14,29
2013-09-15,30
2013-09-16,16
2013-09-17,20
2013-09-18,18
2013-09-19,23
2013-09-20,17
2013-09-21,27
2013-09-22,22
2013-09-23,19
2013-09-24,18
2013-09-25,25
2013-09-26,19
2013-09-27,19
2013-09-28,30
2013-09-29,37
2013-09-30,15
2013-10-01,18
2013-10-02,20
2013-10-03,22
2013-10-04,26
2013-10-05,11
2013-10-06,31
2013-10-07,25
2013-10-08,16
2013-10-09,20
2013-10-10,15
2013-10-11,22
2013-10-12,23
2013-10-13,20
2013-10-14,14
2013-10-15,24
2013-10-16,16
2013-10-17,24
2013-10-18,21
2013-10-19,25
2013-10-20,18
2013-10-21,13
2013-10-22,28
2013-10-23,16
2013-10-24,18
2013-10-25,18
2013-10-26,24
2013-10-27,23
2013-10-28,16
2013-10-29,28
2013-10-30,12
2013-10-31,19
2013-11-01,29
2013-11-02,20
2013-11-03,34
2013-11-04,20
2013-11-05,17
2013-11-06,13
2013-11-07,15
2013-11-08,28
2013-11-09,18
2013-11-10,31
2013-11-11,20
2013-11-12,20
2013-11-13,20
2013-11-14,26
2013-11-15,14
2013-11-16,27
2013-11-17,22
2013-11-18,13
2013-11-19,24
2013-11-20,18
2013-11-21,28
2013-11-22,33
2013-11-23,18
2013-11-24,33
2013-11-25,23
2013-11-26,18
2013-11-27,18
2013-11-28,33
2013-11-29,14
2013-11-30,22
2013-12-01,21
2013-12-02,12
2013-12-03,13
2013-12-04,14
2013-12-05,17
2013-12-06,15
2013-12-07,15
2013-12-08,19
2013-12-09,11
2013-12-10,11
2013-12-11,14
2013-12-12,12
2013-12-13,16
2013-12-14,23
2013-12-15,14
2013-12-16,18
2013-12-17,17
2013-12-18,10
2013-12-19,15
2013-12-20,18
2013-12-21,18
2013-12-22,16
2013-12-23,14
2013-12-24,15
2013-12-25,23
2013-12-26,15
2013-12-27,18
2013-12-28,16
2013-12-29,19
2013-12-30,7
2013-12-31,12
2014-01-01,7
2014-01-02,17
2014-01-03,16
2014-01-04,21
2014-01-05,14
2014-01-06,13
2014-01-07,15
2014-01-08,17
2014-01-09,15
2014-01-10,15
2014-01-11,18
2014-01-12,15
2014-01-13,10
2014-01-14,19
2014-01-15,18
2014-01-16,19
2014-01-17,19
2014-01-18,10
2014-01-19,19
2014-01-20,15
2014-01-21,11
2014-01-22,14
2014-01-23,17
2014-01-24,15
2014-01-25,26
2014-01-26,18
2014-01-27,17
2014-01-28,10
2014-01-29,8
2014-01-30,19
2014-01-31,12
2014-02-01,10
2014-02-02,13
2014-02-03,19
2014-02-04,20
2014-02-05,19
2014-02-06,21
2014-02-07,26
2014-02-08,21
2014-02-09,32
2014-02-10,10
2014-02-11,17
2014-02-12,18
2014-02-13,18
2014-02-14,14
2014-02-15,19
2014-02-16,13
2014-02-17,10
2014-02-18,14
2014-02-19,14
2014-02-20,15
2014-02-21,19
2014-02-22,16
2014-02-23,18
2014-02-24,16
2014-02-25,26
2014-02-26,20
2014-02-27,24
2014-02-28,21
2014-03-01,19
2014-03-02,26
2014-03-03,17
2014-03-04,18
2014-03-05,22
2014-03-06,28
2014-03-07,23
2014-03-08,22
2014-03-09,28
2014-03-10,19
2014-03-11,22
2014-03-12,20
2014-03-13,23
2014-03-14,14
2014-03-15,21
2014-03-16,30
2014-03-17,15
2014-03-18,17
2014-03-19,22
2014-03-20,25
2014-03-21,25
2014-03-22,23
2014-03-23,31
2014-03-24,17
2014-03-25,15
2014-03-26,33
2014-03-27,22
2014-03-28,21
2014-03-29,29
2014-03-30,26
2014-03-31,12
2014-04-01,27
2014-04-02,29
2014-04-03,24
2014-04-04,19
2014-04-05,29
2014-04-06,29
2014-04-07,14
2014-04-08,22
2014-04-09,19
2014-04-10,27
2014-04-11,26
2014-04-12,32
2014-04-13,26
2014-04-14,19
2014-04-15,15
2014-04-16,24
2014-04-17,20
2014-04-18,31
2014-04-19,24
2014-04-20,26
2014-04-21,20
2014-04-22,20
2014-04-23,28
2014-04-24,26
2014-04-25,27
2014-04-26,22
2014-04-27,40
2014-04-28,15
2014-04-29,28
2014-04-30,20
2014-05-01,27
2014-05-02,19
2014-05-03,33
2014-05-04,32
2014-05-05,15
2014-05-06,30
2014-05-07,21
2014-05-08,24
2014-05-09,35
2014-05-10,39
2014-05-11,38
2014-05-12,19
2014-05-13,26
2014-05-14,34
2014-05-15,25
2014-05-16,31
2014-05-17,40
2014-05-18,23
2014-05-19,16
2014-05-20,24
2014-05-21,34
2014-05-22,24
2014-05-23,24
2014-05-24,31
2014-05-25,31
2014-05-26,29
2014-05-27,26
2014-05-28,30
2014-05-29,30
2014-05-30,30
2014-05-31,35
2014-06-01,35
2014-06-02,24
2014-06-03,27
2014-06-04,22
2014-06-05,22
2014-06-06,22
2014-06-07,40
2014-06-08,34
2014-06-09,23
2014-06-10,34
2014-06-11,34
2014-06-12,31
2014-06-13,34
2014-06-14,39
2014-06-15,25
2014-06-16,23
2014-06-17,18
2014-06-18,23
2014-06-19,29
2014-06-20,26
2014-06-21,44
2014-06-22,31
2014-06-23,27
2014-06-24,31
2014-06-25,27
2014-06-26,22
2014-06-27,30
2014-06-28,28
2014-06-29,26
2014-06-30,19
2014-07-01,24
2014-07-02,25
2014-07-03,31
2014-07-04,31
2014-07-05,39
2014-07-06,24
2014-07-07,23
2014-07-08,26
2014-07-09,28
2014-07-10,22
2014-07-11,36
2014-07-12,39
2014-07-13,31
2014-07-14,36
2014-07-15,16
2014-07-16,44
2014-07-17,29
2014-07-18,33
2014-07-19,33
2014-07-20,43
2014-07-21,22
2014-07-22,31
2014-07-23,37
2014-07-24,29
2014-07-25,44
2014-07-26,34
2014-07-27,39
2014-07-28,29
2014-07-29,21
2014-07-30,19
2014-07-31,24
2014-08-01,34
2014-08-02,35
2014-08-03,28
2014-08-04,16
2014-08-05,16
2014-08-06,33
2014-08-07,27
2014-08-08,30
2014-08-09,20
2014-08-10,31
2014-08-11,17
2014-08-12,26
2014-08-13,23
2014-08-14,23
2014-08-15,26
2014-08-16,33
2014-08-17,30
2014-08-18,18
2014-08-19,34
2014-08-20,23
2014-08-21,29
2014-08-22,30
2014-08-23,35
2014-08-24,32
2014-08-25,26
2014-08-26,24
2014-08-27,31
2014-08-28,16
2014-08-29,27
2014-08-30,27
2014-08-31,24
2014-09-01,23
2014-09-02,20
2014-09-03,22
2014-09-04,27
2014-09-05,28
2014-09-06,28
2014-09-07,31
2014-09-08,21
2014-09-09,26
2014-09-10,21
2014-09-11,23
2014-09-12,28
2014-09-13,34
2014-09-14,31
2014-09-15,16
2014-09-16,19
2014-09-17,25
2014-09-18,26
2014-09-19,31
2014-09-20,24
2014-09-21,29
2014-09-22,16
2014-09-23,14
2014-09-24,25
2014-09-25,14
2014-09-26,26
2014-09-27,35
2014-09-28,27
2014-09-29,17
2014-09-30,21
2014-10-01,24
2014-10-02,28
2014-10-03,22
2014-10-04,20
2014-10-05,32
2014-10-06,13
2014-10-07,24
2014-10-08,26
2014-10-09,29
2014-10-10,22
2014-10-11,26
2014-10-12,29
2014-10-13,19
2014-10-14,26
2014-10-15,15
2014-10-16,29
2014-10-17,28
2014-10-18,40
2014-10-19,30
2014-10-20,13
2014-10-21,35
2014-10-22,14
2014-10-23,19
2014-10-24,20
2014-10-25,16
2014-10-26,21
2014-10-27,21
2014-10-28,20
2014-10-29,20
2014-10-30,27
2014-10-31,22
2014-11-01,26
2014-11-02,29
2014-11-03,14
2014-11-04,20
2014-11-05,22
2014-11-06,27
2014-11-07,34
2014-11-08,25
2014-11-09,22
2014-11-10,22
2014-11-11,26
2014-11-12,25
2014-11-13,21
2014-11-14,23
2014-11-15,32
2014-11-16,32
2014-11-17,23
2014-11-18,23
2014-11-19,28
2014-11-20,38
2014-11-21,34
2014-11-22,26
2014-11-23,22
2014-11-24,22
2014-11-25,26
2014-11-26,27
2014-11-27,31
2014-11-28,23
2014-11-29,27
2014-11-30,28
2014-12-01,14
2014-12-02,12
2014-12-03,14
2014-12-04,20
2014-12-05,21
2014-12-06,19
2014-12-07,16
2014-12-08,15
2014-12-09,20
2014-12-10,11
2014-12-11,15
2014-12-12,20
2014-12-13,23
2014-12-14,22
2014-12-15,17
2014-12-16,11
2014-12-17,28
2014-12-18,12
2014-12-19,17
2014-12-20,26
2014-12-21,21
2014-12-22,16
2014-12-23,24
2014-12-24,15
2014-12-25,16
2014-12-26,18
2014-12-27,20
2014-12-28,25
2014-12-29,12
2014-12-30,13
2014-12-31,11
2015-01-01,15
2015-01-02,16
2015-01-03,20
2015-01-04,18
2015-01-05,8
2015-01-06,15
2015-01-07,17
2015-01-08,18
2015-01-09,23
2015-01-10,23
2015-01-11,16
2015-01-12,13
2015-01-13,14
2015-01-14,10
2015-01-15,7
2015-01-16,16
2015-01-17,23
2015-01-18,23
2015-01-19,14
2015-01-20,16
2015-01-21,19
2015-01-22,13
2015-01-23,23
2015-01-24,17
2015-01-25,17
2015-01-26,16
2015-01-27,23
2015-01-28,13
2015-01-29,11
2015-01-30,16
2015-01-31,27
2015-02-01,21
2015-02-02,12
2015-02-03,10
2015-02-04,19
2015-02-05,18
2015-02-06,19
2015-02-07,22
2015-02-08,14
2015-02-09,17
2015-02-10,12
2015-02-11,17
2015-02-12,25
2015-02-13,18
2015-02-14,24
2015-02-15,19
2015-02-16,18
2015-02-17,9
2015-02-18,17
2015-02-19,17
2015-02-20,16
2015-02-21,18
2015-02-22,33
2015-02-23,14
2015-02-24,13
2015-02-25,18
2015-02-26,14
2015-02-27,17
2015-02-28,15
2015-03-01,19
2015-03-02,21
2015-03-03,18
2015-03-04,27
2015-03-05,17
2015-03-06,25
2015-03-07,28
2015-03-08,25
2015-03-09,10
2015-03-10,16
2015-03-11,21
2015-03-12,21
2015-03-13,26
2015-03-14,26
2015-03-15,21
2015-03-16,21
2015-03-17,22
2015-03-18,15
2015-03-19,21
2015-03-20,23
2015-03-21,27
2015-03-22,30
2015-03-23,17
2015-03-24,27
2015-03-25,21
2015-03-26,24
2015-03-27,26
2015-03-28,26
2015-03-29,41
2015-03-30,14
2015-03-31,16
2015-04-01,20
2015-04-02,29
2015-04-03,32
2015-04-04,32
2015-04-05,30
2015-04-06,23
2015-04-07,26
2015-04-08,28
2015-04-09,31
2015-04-10,24
2015-04-11,38
2015-04-12,32
2015-04-13,24
2015-04-14,38
2015-04-15,28
2015-04-16,27
2015-04-17,23
2015-04-18,34
2015-04-19,22
2015-04-20,22
2015-04-21,19
2015-04-22,18
2015-04-23,22
2015-04-24,23
2015-04-25,36
2015-04-26,39
2015-04-27,26
2015-04-28,17
2015-04-29,23
2015-04-30,27
2015-05-01,32
2015-05-02,43
2015-05-03,34
2015-05-04,21
2015-05-05,31
2015-05-06,28
2015-05-07,31
2015-05-08,32
2015-05-09,36
2015-05-10,37
2015-05-11,22
2015-05-12,23
2015-05-13,19
2015-05-14,21
2015-05-15,29
2015-05-16,33
2015-05-17,33
2015-05-18,27
2015-05-19,26
2015-05-20,27
2015-05-21,31
2015-05-22,30
2015-05-23,30
2015-05-24,29
2015-05-25,21
2015-05-26,28
2015-05-27,19
2015-05-28,29
2015-05-29,34
2015-05-30,29
2015-05-31,25
2015-06-01,23
2015-06-02,34
2015-06-03,28
2015-06-04,36
2015-06-05,31
2015-06-06,39
2015-06-07,46
2015-06-08,19
2015-06-09,32
2015-06-10,22
2015-06-11,27
2015-06-12,25
2015-06-13,31
2015-06-14,40
2015-06-15,12
2015-06-16,21
2015-06-17,36
2015-06-18,31
2015-06-19,34
2015-06-20,29
2015-06-21,44
2015-06-22,30
2015-06-23,26
2015-06-24,31
2015-06-25,33
2015-06-26,23
2015-06-27,32
2015-06-28,34
2015-06-29,29
2015-06-30,26
2015-07-01,30
2015-07-02,32
2015-07-03,37
2015-07-04,26
2015-07-05,39
2015-07-06,31
2015-07-07,37
2015-07-08,24
2015-07-09,29
2015-07-10,37
2015-07-11,32
2015-07-12,41
2015-07-13,23
2015-07-14,25
2015-07-15,26
2015-07-16,36
2015-07-17,28
2015-07-18,35
2015-07-19,41
2015-07-20,18
2015-07-21,30
2015-07-22,33
2015-07-23,30
2015-07-24,29
2015-07-25,37
2015-07-26,32
2015-07-27,20
2015-07-28,33
2015-07-29,31
2015-07-30,50
2015-07-31,32
2015-08-01,31
2015-08-02,38
2015-08-03,22
2015-08-04,27
2015-08-05,21
2015-08-06,17
2015-08-07,29
2015-08-08,36
2015-08-09,39
2015-08-10,20
2015-08-11,34
2015-08-12,24
2015-08-13,27
2015-08-14,26
2015-08-15,31
2015-08-16,47
2015-08-17,31
2015-08-18,34
2015-08-19,24
2015-08-20,27
2015-08-21,37
2015-08-22,38
2015-08-23,31
2015-08-24,18
2015-08-25,27
2015-08-26,31
2015-08-27,25
2015-08-28,37
2015-08-29,27
2015-08-30,39
2015-08-31,15
2015-09-01,24
2015-09-02,20
2015-09-03,31
2015-09-04,31
2015-09-05,39
2015-09-06,37
2015-09-07,18
2015-09-08,26
2015-09-09,35
2015-09-10,31
2015-09-11,26
2015-09-12,29
2015-09-13,23
2015-09-14,19
2015-09-15,30
2015-09-16,23
2015-09-17,26
2015-09-18,29
2015-09-19,30
2015-09-20,30
2015-09-21,29
2015-09-22,30
2015-09-23,32
2015-09-24,22
2015-09-25,28
2015-09-26,24
2015-09-27,35
2015-09-28,23
2015-09-29,31
2015-09-30,18
2015-10-01,27
2015-10-02,23
2015-10-03,27
2015-10-04,26
2015-10-05,19
2015-10-06,19
2015-10-07,21
2015-10-08,19
2015-10-09,16
2015-10-10,29
2015-10-11,30
2015-10-12,12
2015-10-13,23
2015-10-14,24
2015-10-15,29
2015-10-16,21
2015-10-17,25
2015-10-18,42
2015-10-19,16
2015-10-20,26
2015-10-21,14
2015-10-22,29
2015-10-23,27
2015-10-24,14
2015-10-25,31
2015-10-26,23
2015-10-27,24
2015-10-28,20
2015-10-29,31
2015-10-30,28
2015-10-31,31
2015-11-01,30
2015-11-02,16
2015-11-03,21
2015-11-04,32
2015-11-05,25
2015-11-06,26
2015-11-07,29
2015-11-08,39
2015-11-09,23
2015-11-10,21
2015-11-11,27
2015-11-12,15
2015-11-13,21
2015-11-14,24
2015-11-15,38
2015-11-16,24
2015-11-17,31
2015-11-18,27
2015-11-19,22
2015-11-20,40
2015-11-21,28
2015-11-22,37
2015-11-23,25
2015-11-24,20
2015-11-25,16
2015-11-26,20
2015-11-27,27
2015-11-28,42
2015-11-29,35
2015-11-30,14
2015-12-01,18
2015-12-02,23
2015-12-03,13
2015-12-04,14
2015-12-05,22
2015-12-06,23
2015-12-07,17
2015-12-08,18
2015-12-09,13
2015-12-10,21
2015-12-11,14
2015-12-12,18
2015-12-13,21
2015-12-14,18
2015-12-15,18
2015-12-16,25
2015-12-17,15
2015-12-18,19
2015-12-19,21
2015-12-20,25
2015-12-21,7
2015-12-22,16
2015-12-23,14
2015-12-24,19
2015-12-25,21
2015-12-26,22
2015-12-27,22
2015-12-28,15
2015-12-29,21
2015-12-30,16
2015-12-31,23
2016-01-01,23
2016-01-02,22
2016-01-03,19
2016-01-04,14
2016-01-05,13
2016-01-06,19
2016-01-07,17
2016-01-08,10
2016-01-09,25
2016-01-10,20
2016-01-11,14
2016-01-12,18
2016-01-13,22
2016-01-14,16
2016-01-15,22
2016-01-16,22
2016-01-17,19
2016-01-18,19
2016-01-19,20
2016-01-20,14
2016-01-21,14
2016-01-22,16
2016-01-23,19
2016-01-24,18
2016-01-25,18
2016-01-26,22
2016-01-27,23
2016-01-28,18
2016-01-29,17
2016-01-30,18
2016-01-31,20
2016-02-01,12
2016-02-02,24
2016-02-03,25
2016-02-04,22
2016-02-05,19
2016-02-06,28
2016-02-07,24
2016-02-08,19
2016-02-09,19
2016-02-10,21
2016-02-11,24
2016-02-12,25
2016-02-13,22
2016-02-14,29
2016-02-15,22
2016-02-16,26
2016-02-17,21
2016-02-18,20
2016-02-19,22
2016-02-20,21
2016-02-21,25
2016-02-22,11
2016-02-23,17
2016-02-24,26
2016-02-25,22
2016-02-26,22
2016-02-27,19
2016-02-28,23
2016-02-29,18
2016-03-01,19
2016-03-02,25
2016-03-03,25
2016-03-04,19
2016-03-05,28
2016-03-06,23
2016-03-07,13
2016-03-08,23
2016-03-09,24
2016-03-10,28
2016-03-11,27
2016-03-12,26
2016-03-13,31
2016-03-14,16
2016-03-15,24
2016-03-16,15
2016-03-17,19
2016-03-18,22
2016-03-19,24
2016-03-20,17
2016-03-21,22
2016-03-22,19
2016-03-23,24
2016-03-24,13
2016-03-25,36
2016-03-26,28
2016-03-27,28
2016-03-28,25
2016-03-29,23
2016-03-30,16
2016-03-31,19
2016-04-01,25
2016-04-02,33
2016-04-03,41
2016-04-04,26
2016-04-05,34
2016-04-06,22
2016-04-07,27
2016-04-08,26
2016-04-09,39
2016-04-10,39
2016-04-11,26
2016-04-12,30
2016-04-13,22
2016-04-14,27
2016-04-15,34
2016-04-16,37
2016-04-17,28
2016-04-18,26
2016-04-19,25
2016-04-20,29
2016-04-21,33
2016-04-22,31
2016-04-23,39
2016-04-24,28
2016-04-25,26
2016-04-26,22
2016-04-27,22
2016-04-28,29
2016-04-29,31
2016-04-30,45
2016-05-01,38
2016-05-02,22
2016-05-03,29
2016-05-04,25
2016-05-05,36
2016-05-06,36
2016-05-07,37
2016-05-08,39
2016-05-09,22
2016-05-10,25
2016-05-11,27
2016-05-12,27
2016-05-13,38
2016-05-14,36
2016-05-15,34
2016-05-16,19
2016-05-17,30
2016-05-18,22
2016-05-19,32
2016-05-20,36
2016-05-21,33
2016-05-22,30
2016-05-23,24
2016-05-24,32
2016-05-25,26
2016-05-26,26
2016-05-27,32
2016-05-28,39
2016-05-29,38
2016-05-30,17
2016-05-31,33
2016-06-01,22
2016-06-02,30
2016-06-03,33
2016-06-04,31
2016-06-05,35
2016-06-06,31
2016-06-07,21
2016-06-08,29
2016-06-09,27
2016-06-10,49
2016-06-11,37
2016-06-12,45
2016-06-13,38
2016-06-14,30
2016-06-15,30
2016-06-16,35
2016-06-17,32
2016-06-18,38
2016-06-19,30
2016-06-20,24
2016-06-21,31
2016-06-22,29
2016-06-23,33
2016-06-24,35
2016-06-25,39
2016-06-26,35
2016-06-27,32
2016-06-28,45
2016-06-29,26
2016-06-30,37
2016-07-01,27
2016-07-02,37
2016-07-03,41
2016-07-04,26
2016-07-05,30
2016-07-06,29
2016-07-07,42
2016-07-08,46
2016-07-09,48
2016-07-10,43
2016-07-11,25
2016-07-12,28
2016-07-13,37
2016-07-14,41
2016-07-15,37
2016-07-16,42
2016-07-17,36
2016-07-18,26
2016-07-19,24
2016-07-20,33
2016-07-21,40
2016-07-22,26
2016-07-23,36
2016-07-24,29
2016-07-25,36
2016-07-26,38
2016-07-27,27
2016-07-28,41
2016-07-29,38
2016-07-30,41
2016-07-31,32
2016-08-01,23
2016-08-02,21
2016-08-03,29
2016-08-04,18
2016-08-05,35
2016-08-06,36
2016-08-07,49
2016-08-08,31
2016-08-09,30
2016-08-10,22
2016-08-11,18
2016-08-12,42
2016-08-13,23
2016-08-14,44
2016-08-15,22
2016-08-16,21
2016-08-17,33
2016-08-18,37
2016-08-19,26
2016-08-20,36
2016-08-21,42
2016-08-22,19
2016-08-23,32
2016-08-24,35
2016-08-25,26
2016-08-26,33
2016-08-27,39
2016-08-28,39
2016-08-29,23
2016-08-30,36
2016-08-31,31
2016-09-01,28
2016-09-02,27
2016-09-03,37
2016-09-04,38
2016-09-05,23
2016-09-06,22
2016-09-07,21
2016-09-08,22
2016-09-09,24
2016-09-10,33
2016-09-11,27
2016-09-12,26
2016-09-13,22
2016-09-14,25
2016-09-15,22
2016-09-16,35
2016-09-17,30
2016-09-18,30
2016-09-19,15
2016-09-20,29
2016-09-21,24
2016-09-22,25
2016-09-23,28
2016-09-24,37
2016-09-25,30
2016-09-26,28
2016-09-27,31
2016-09-28,45
2016-09-29,26
2016-09-30,36
2016-10-01,28
2016-10-02,38
2016-10-03,8
2016-10-04,22
2016-10-05,24
2016-10-06,27
2016-10-07,31
2016-10-08,40
2016-10-09,32
2016-10-10,20
2016-10-11,30
2016-10-12,26
2016-10-13,22
2016-10-14,31
2016-10-15,35
2016-10-16,31
2016-10-17,19
2016-10-18,28
2016-10-19,25
2016-10-20,24
2016-10-21,37
2016-10-22,26
2016-10-23,22
2016-10-24,21
2016-10-25,21
2016-10-26,28
2016-10-27,30
2016-10-28,29
2016-10-29,30
2016-10-30,20
2016-10-31,22
2016-11-01,32
2016-11-02,31
2016-11-03,27
2016-11-04,25
2016-11-05,33
2016-11-06,45
2016-11-07,14
2016-11-08,25
2016-11-09,24
2016-11-10,34
2016-11-11,24
2016-11-12,30
2016-11-13,25
2016-11-14,23
2016-11-15,27
2016-11-16,18
2016-11-17,35
2016-11-18,21
2016-11-19,27
2016-11-20,46
2016-11-21,26
2016-11-22,23
2016-11-23,22
2016-11-24,35
2016-11-25,23
2016-11-26,27
2016-11-27,37
2016-11-28,21
2016-11-29,37
2016-11-30,25
2016-12-01,19
2016-12-02,15
2016-12-03,23
2016-12-04,30
2016-12-05,25
2016-12-06,14
2016-12-07,16
2016-12-08,23
2016-12-09,21
2016-12-10,37
2016-12-11,23
2016-12-12,24
2016-12-13,14
2016-12-14,17
2016-12-15,24
2016-12-16,25
2016-12-17,24
2016-12-18,23
2016-12-19,21
2016-12-20,26
2016-12-21,24
2016-12-22,21
2016-12-23,18
2016-12-24,26
2016-12-25,24
2016-12-26,11
2016-12-27,22
2016-12-28,15
2016-12-29,19
2016-12-30,21
2016-12-31,26
2017-01-01,20
2017-01-02,16
2017-01-03,17
2017-01-04,20
2017-01-05,26
2017-01-06,17
2017-01-07,22
2017-01-08,18
2017-01-09,17
2017-01-10,11
2017-01-11,20
2017-01-12,23
2017-01-13,16
2017-01-14,20
2017-01-15,25
2017-01-16,16
2017-01-17,22
2017-01-18,23
2017-01-19,23
2017-01-20,18
2017-01-21,24
2017-01-22,23
2017-01-23,18
2017-01-24,21
2017-01-25,16
2017-01-26,27
2017-01-27,21
2017-01-28,20
2017-01-29,21
2017-01-30,16
2017-01-31,17
2017-02-01,22
2017-02-02,28
2017-02-03,33
2017-02-04,28
2017-02-05,20
2017-02-06,20
2017-02-07,22
2017-02-08,17
2017-02-09,24
2017-02-10,26
2017-02-11,28
2017-02-12,20
2017-02-13,18
2017-02-14,26
2017-02-15,19
2017-02-16,19
2017-02-17,19
2017-02-18,22
2017-02-19,20
2017-02-20,18
2017-02-21,19
2017-02-22,22
2017-02-23,17
2017-02-24,24
2017-02-25,27
2017-02-26,26
2017-02-27,18
2017-02-28,17
2017-03-01,19
2017-03-02,14
2017-03-03,27
2017-03-04,27
2017-03-05,25
2017-03-06,21
2017-03-07,28
2017-03-08,25
2017-03-09,21
2017-03-10,23
2017-03-11,40
2017-03-12,33
2017-03-13,26
2017-03-14,22
2017-03-15,27
2017-03-16,25
2017-03-17,29
2017-03-18,32
2017-03-19,25
2017-03-20,16
2017-03-21,19
2017-03-22,26
2017-03-23,15
2017-03-24,34
2017-03-25,27
2017-03-26,17
2017-03-27,22
2017-03-28,27
2017-03-29,33
2017-03-30,23
2017-03-31,30
2017-04-01,42
2017-04-02,28
2017-04-03,25
